FIPS,State,County,ExcessiveDrinking,AlcoholDrivingDeath,TotalDrivingDeath,Latitude,Longitude
26001,Michigan,Alcona,16,3,5,+44.682535°,–82.834080°
26003,Michigan,Alger,19,0,5,+47.080077°,–86.564108°
26005,Michigan,Allegan,19,21,73,+42.595788°,–86.634745°
26007,Michigan,Alpena,19,3,9,+44.894954°,–83.426574°
26009,Michigan,Antrim,18,5,17,+45.005457°,–85.175625°
26011,Michigan,Arenac,18,3,14,+44.036870°,–83.740675°
26013,Michigan,Baraga,19,3,4,+46.696068°,–88.356022°
26015,Michigan,Barry,20,6,42,+42.582811°,–85.314550°
26017,Michigan,Bay,20,18,51,+43.699711°,–83.978701°
26019,Michigan,Benzie,19,5,15,+44.648621°,–86.494317°
26021,Michigan,Berrien,16,29,92,+41.792639°,–86.741822°
26023,Michigan,Branch,19,9,29,+41.918585°,–85.066523°
26025,Michigan,Calhoun,18,36,99,+42.242990°,–85.012385°
26027,Michigan,Cass,19,16,55,+41.916240°,–85.999457°
26029,Michigan,Charlevoix,19,6,10,+45.513164°,–85.450392°
26031,Michigan,Cheboygan,18,8,13,+45.476120°,–84.495271°
26033,Michigan,Chippewa,21,8,20,+46.321819°,–84.520630°
26035,Michigan,Clare,17,10,25,+43.991137°,–84.838325°
26037,Michigan,Clinton,23,9,41,+42.950455°,–84.591695°
26039,Michigan,Crawford,18,4,13,+44.680208°,–84.611132°
26041,Michigan,Delta,18,4,21,+45.805101°,–86.901373°
26043,Michigan,Dickinson,19,3,12,+46.012823°,–87.866119°
26045,Michigan,Eaton,20,21,73,+42.589614°,–84.846524°
26047,Michigan,Emmet,20,9,18,+45.590094°,–84.986822°
26049,Michigan,Genesee,18,50,197,+43.021077°,–83.706372°
26051,Michigan,Gladwin,17,6,17,+43.989750°,–84.389816°
26053,Michigan,Gogebic,18,3,9,+46.488054°,–89.788314°
26055,Michigan,Grand Traverse,20,11,47,+44.718688°,–85.553848°
26057,Michigan,Gratiot,19,4,22,+43.292326°,–84.604690°
26059,Michigan,Hillsdale,19,10,35,+41.864475°,–84.642409°
26061,Michigan,Houghton,22,3,10,+46.998305°,–88.652066°
26063,Michigan,Huron,19,9,25,+43.907616°,–82.857045°
