country,code,total,lastYear,heavyDrinking,noDrinking,neverDrinking
Afghanistan,AFG,0.2,3.7,1.9,96.3,92.5
Albania,ALB,7.5,53.8,11.9,46.2,24.4
Algeria,DZA,0.9,9.3,4.7,90.7,81.3
American Samoa,ASCA,0,0,0,0,0
Andorra,AND,11.3,68.3,5.6,31.7,12.6
Angola,AGO,6.4,35.6,11.8,64.4,52
Anguilla,AIA,0,0,0,0,0
Antarctica,ANT,0,0,0,0,0
Antigua and Barb,ATG,7,66.6,10.1,33.4,15.3
Argentina,ARG,9.8,58.8,20.4,41.2,21
Armenia,ARM,5.5,64,31.4,36,23
Aruba,ARU,0,0,0,0,0
Ashmore and Cartier Is.,AC,0,0,0,0,0
Australia,AUS,10.6,84,13,16,10
Austria,AUT,11.6,77.4,52.4,22.6,18.1
Azerbaijan,AZE,0.8,44,23.7,56,38.7
Bahamas,BHS,4.4,55,9.8,45,24.5
Bahrain,BHR,1.9,9.8,0.7,90.2,85.6
Bangladesh,BGD,0,1.9,1.8,98.1,89.3
Barbados,BRB,9.6,68.6,21.2,31.4,12.3
Belarus,BLR,11.2,79.2,32.7,20.8,12.8
Belgium,BEL,12.1,82.3,41.7,17.7,6.2
Belize,BLZ,6.7,28.6,8.3,71.4,61.3
Benin,BEN,3,39.4,56.6,60.6,51.1
Bermuda,BER,0,0,0,0,0
Bhutan,BTN,0.6,10.3,6.6,89.7,78.5
Bolivia,BOL,4.8,51.7,8.1,48.3,27.3
Bosnia and Herz,BIH,6.4,57.2,10.8,42.8,22.4
Botswana,BWA,8.4,41.5,17.2,58.5,41.3
Br. Indian Ocean Ter.,BIO,0,0,0,0,0
Brazil,BRA,7.8,57.7,22.1,42.3,21.9
British Virgin Is.,BVI,0,0,0,0,0
Brunei,BRN,0.4,20.4,2.7,79.6,66
Bulgaria,BGR,12.7,67.4,29.1,32.6,14.6
Burkina Faso,BFA,8.2,38,46.7,62,50.8
Burundi,BDI,7.5,42.1,7.1,57.9,44.9
Cabo Verde,CPV,0,0,0,0,0
Cambodia,KHM,6.7,38.4,3.7,61.6,49.3
Cameroon,CMR,8.9,43.2,27.9,56.8,43.8
Canada,CAN,8.9,77.1,23.1,22.9,11.1
Cayman Is.,CAI,0,0,0,0,0
Central African Rep.,CAF,3.3,21.4,7.9,78.6,65.9
Chad,TCD,1.5,13.1,5.7,86.9,73.7
Chile,CHL,9.3,65.9,7.4,34.1,16.1
China,CHN,7.2,44.1,17.3,55.9,38.7
Colombia,COL,5.8,48.3,8.6,51.7,30.9
Comoros,COM,0.9,11.9,7.2,88.1,76.1
Congo,COG,7.8,28.7,11.1,71.3,62
Cook Is.,CKI,0,0,0,0,0
Costa Rica,CRI,4.8,51.4,14.8,48.6,27.6
Croatia,HRV,8.9,80.5,13.4,19.5,8.1
Cuba,CUB,6.1,62.2,10.1,37.8,17.4
Curaçao,CUW,0,0,0,0,0
Cyprus,CYP,10.8,85,30.5,15,6.4
Czechia,CZE,14.4,89.1,43.6,10.9,2.6
Côte d'Ivoire,CIV,0,0,0,0,0
Dem. Rep. of Congo,COD,2.6,27.9,10.7,72.1,62.8
Denmark,DNK,10.4,88.6,32.2,11.4,4.5
Djibouti,DJI,0.5,5.8,1.5,94.2,84.5
Dominica,DMA,8.2,59,46.9,41,20.8
Dominican Rep.,DOM,6.9,55.2,29.6,44.8,25.2
Ecuador,ECU,4.4,47.3,8,52.7,31.8
Egypt,EGY,0.4,6.5,0.5,93.5,89.7
El Salvador,SLV,3.7,44,22.4,56,34.4
Eq. Guinea,GNQ,11.3,40,12.8,60,48.7
Eritrea,ERI,1.3,43.3,0.9,56.7,51.1
