City,State,FIPS,County,Latitude,Longitude,Ranking
New York City,New York,36061,New York,40.95,-74,1
Los Angeles,California,6037,Los Angeles,34,-118.4068,1
Chicago,Illinois,17031,Cook,41.7,-87.6862,1
Miami,Florida,12086,Miami-Dade,25.7839,-80.2102,1
Dallas,Texas,48113,Dallas,32.7936,-96.7662,1
Philadelphia,Pennsylvania,42101,Philadelphia,40.1,-75.3,1
Houston,Texas,48201,Harris,29.7863,-95.3889,1
Atlanta,Georgia,13121,Fulton,33.7627,-84.4224,1
Washington,District of Columbia,11001,District of Columbia,38.9047,-77.0163,1
Boston,Massachusetts,25025,Suffolk,42.3,-71.0846,1
Phoenix,Arizona,4013,Maricopa,33.5722,-112.0891,1
Seattle,Washington,53033,King,47.6211,-122.3244,1
San Francisco,California,6075,San Francisco,37.5,-122.443,1
Detroit,Michigan,26163,Wayne,42.3314,-83.0458,1
San Diego,California,6073,San Diego,32.8312,-117.1225,1
Minneapolis,Minnesota,27053,Hennepin,44.9635,-93.2678,1
Tampa,Florida,12057,Hillsborough,27.9942,-82.4451,1
Denver,Colorado,8031,Denver,39.65,-104.8759,1
Riverside,California,6065,Riverside,33.9381,-117.3948,1
Baltimore,Maryland,24510,Baltimore,39.3051,-76.6144,1
Las Vegas,Nevada,32003,Clark,36,-115.1398,1
Portland,Oregon,41051,Multnomah,45.4,-122.65,1
San Antonio,Texas,48029,Bexar,29.3,-98.5253,1
St. Louis,Missouri,29510,St. Louis,38.6358,-90.1994,1
Sacramento,California,6067,Sacramento,38.6,-121.4683,1
Orlando,Florida,12095,Orange,28.4772,-81.3369,1
San Jose,California,6085,Santa Clara,36.9,-121.8486,1
Cleveland,Ohio,39035,Cuyahoga,41.4767,-81.6804,1
Pittsburgh,Pennsylvania,42003,Allegheny,40.4,-79.9762,1
Austin,Texas,48453,Travis,30.4,-97.7522,1
Cincinnati,Ohio,39061,Hamilton,39.1413,-84.5061,1
Kansas City,Missouri,29095,Jackson,39.1239,-94.5541,1
Indianapolis,Indiana,18097,Marion,39.7771,-86.1458,1
Columbus,Ohio,39049,Franklin,39.9862,-82.985,1
Charlotte,North Carolina,37119,Mecklenburg,35.208,-80.8304,1
Virginia Beach,Virginia,51810,Virginia Beach,36.7335,-76.0435,1
Milwaukee,Wisconsin,55079,Milwaukee,43.0642,-87.9673,1
Providence,Rhode Island,44007,Providence,41.823,-71.4187,1
Jacksonville,Florida,12031,Duval,30.3322,-81.6749,1
Salt Lake City,Utah,49035,Salt Lake,40.7777,-111.9306,1
Nashville,Tennessee,47037,Davidson,36.1,-86.7843,1
Richmond,Virginia,51760,Richmond,37.5295,-77.4756,1
Memphis,Tennessee,47157,Shelby,35.1046,-89.9773,1
Raleigh,North Carolina,37183,Wake,35.8325,-78.6435,1
New Orleans,Louisiana,22071,Orleans,30.0687,-89.9288,1
Louisville,Kentucky,21111,Jefferson,38.1663,-85.6485,1
Oklahoma City,Oklahoma,40109,Oklahoma,35.4676,-97.5136,2
Bridgeport,Connecticut,9001,Fairfield,41.1918,-73.1953,2
Buffalo,New York,36029,Erie,42.9016,-78.8487,2
Fort Worth,Texas,48439,Tarrant,32.7811,-97.3473,2
Hartford,Connecticut,9003,Hartford,41.7661,-72.6834,2
Tucson,Arizona,4019,Pima,32.1545,-110.8782,2
Omaha,Nebraska,31055,Douglas,41.2627,-96.0522,2
El Paso,Texas,48141,El Paso,31.8479,-106.4309,2
Honolulu,Hawaii,15003,Honolulu,21.3294,-157.846,2
McAllen,Texas,48215,Hidalgo,26.2273,-98.2471,2
Albuquerque,New Mexico,35001,Bernalillo,35.1053,-106.6464,2
Birmingham,Alabama,1073,Jefferson,33.5277,-86.7987,2
Sarasota,Florida,12115,Sarasota,27.3386,-82.5431,2
Dayton,Ohio,39113,Montgomery,39.7797,-84.1998,2
Rochester,New York,36055,Monroe,43.168,-77.6162,2
Fresno,California,6019,Fresno,36.7831,-119.7941,2
Allentown,Pennsylvania,42077,Lehigh,40.5961,-75.4756,2
Tulsa,Oklahoma,40143,Tulsa,36.1284,-95.9042,2
Cape Coral,Florida,12071,Lee,26.6446,-81.9956,2
Concord,California,6013,Contra Costa,37.9722,-122.0016,2
Colorado Springs,Colorado,8041,El Paso,38.8674,-104.7606,2
Charleston,South Carolina,45019,Charleston,32.8153,-79.9628,2
Springfield,Massachusetts,25013,Hampden,42.1155,-72.5395,2
Grand Rapids,Michigan,26081,Kent,42.962,-85.6562,2
Mission Viejo,California,6059,Orange,33.6095,-117.655,2
Albany,New York,36001,Albany,42.6664,-73.7987,2
Knoxville,Tennessee,47093,Knox,35.9692,-83.9496,2
Bakersfield,California,6029,Kern,35.3529,-119.0359,2
